Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO,°C
1970,Western Asia,Storms,,24283337,842597,88,18
1970,Western Europe,Droughts,,19029942,726476,25,-8
1970,Western Europe,Floods,,55621191,865067,41,9
1970,Western Europe,Storms,,11973433,228762,24,-51
1980,Australia and New Zealand,Droughts,,23564008,221174,87,38
1980,Australia and New Zealand,Floods,,96971081,954480,32,-23
1980,Australia and New Zealand,Storms,,31917780,62957,93,-21
1980,Caribbean,Droughts,,52275966,349918,61,-32
1980,Caribbean,Floods,,62891064,11617,95,-46
1980,Caribbean,Storms,,19363123,760364,93,30
1980,Central America,Droughts,,72032747,625758,72,-41
1980,Central America,Floods,,19297830,50850,30,20
1980,Central America,Storms,,65819828,216726,95,27
1980,Central Asia,Droughts,,54453795,711373,97,-11
1980,Central Asia,Floods,,50845875,716011,14,-8
1980,Central Asia,Storms,,44918996,514312,58,-46
1980,Eastern Africa,Droughts,,24914881,905232,30,36
1980,Eastern Africa,Floods,,52695395,164270,66,-31
1980,Eastern Africa,Storms,,47257529,118602,7,13
1980,Eastern Asia,Droughts,,45935565,251964,19,20
1980,Eastern Asia,Floods,,22653102,469248,47,42
1980,Eastern Asia,Storms,,29727046,940211,25,-9
1980,Eastern Europe,Droughts,,3280694,355288,78,16
1980,Eastern Europe,Floods,,62896328,504711,42,-59
1980,Eastern Europe,Storms,,43340813,553660,89,1
1980,Melanesia,Droughts,,64125394,74122,61,-11
1980,Melanesia,Floods,,3299388,63083,70,-4
1980,Melanesia,Storms,,36460932,64145,91,-40
1980,Micronesia,Droughts,,43258373,958901,16,-14
1980,Micronesia,Floods,,45669127,871955,34,-45
1980,Micronesia,Storms,,55301868,932337,77,-57
1980,Middle Africa,Droughts,,71825209,567781,85,-12
1980,Middle Africa,Floods,,37019423,230029,85,-15
1980,Middle Africa,Storms,,94655879,423271,62,38
1980,Northern Africa,Droughts,,46620470,787457,95,-50
1980,Northern Africa,Floods,,4166838,760658,44,-24
1980,Northern Africa,Storms,,53962390,996986,19,49
1980,Northern America,Droughts,,31803541,337866,47,24
1980,Northern America,Floods,,62704482,543704,84,-15
1980,Northern America,Storms,,3629122,576591,69,-44
1980,Northern Europe,Droughts,,42257399,90576,83,21
1980,Northern Europe,Floods,,89785080,510853,74,36
1980,Northern Europe,Storms,,83012294,288557,26,-48
1980,Polynesia,Droughts,,62507360,688229,50,25
1980,Polynesia,Floods,,50301595,704852,64,5
1980,Polynesia,Storms,,32477882,244575,84,39
1980,South America,Droughts,,38067071,174208,23,19
1980,South America,Floods,,85661664,244455,98,27
1980,South America,Storms,,28955023,37680,88,-30
1980,South-Eastern Asia,Droughts,,12981821,505747,7,17
1980,South-Eastern Asia,Floods,,65125759,713440,35,-30
1980,South-Eastern Asia,Storms,,4261918,286296,32,9
1980,Southern Africa,Droughts,,73118420,715751,48,-24
1980,Southern Africa,Floods,,97961419,134901,62,6
1980,Southern Africa,Storms,,88021597,404238,35,-21
1980,Southern Asia,Droughts,,35873394,490036,11,49
1980,Southern Asia,Floods,,43739325,849617,68,-58
1980,Southern Asia,Storms,,41996318,447729,27,-41
1980,Southern Europe,Droughts,,15066844,731681,96,-25
1980,Southern Europe,Floods,,91917214,81452,30,-25
1980,Southern Europe,Storms,,84456871,374398,1,-43
1980,Western Africa,Droughts,,62261864,537077,91,12
1980,Western Africa,Floods,,45448104,481512,55,-6
1980,Western Africa,Storms,,84840379,142341,87,35
1980,Western Asia,Droughts,,50359154,595432,65,21
1980,Western Asia,Floods,,87690029,712017,5,-5
1980,Western Asia,Storms,,59442721,442620,56,1
1980,Western Europe,Droughts,,29752318,421704,67,-17
1980,Western Europe,Floods,,81777050,497020,88,-58
1980,Western Europe,Storms,,49535124,664433,18,-58
1990,Australia and New Zealand,Droughts,,25734370,405561,41,1
1990,Australia and New Zealand,Floods,,85782171,640434,20,1
1990,Australia and New Zealand,Storms,,95419675,620117,34,26
1990,Caribbean,Droughts,,3666573,243572,72,-20
1990,Caribbean,Floods,,57982972,175929,18,-13
1990,Caribbean,Storms,,9779290,297342,74,42
1990,Central America,Droughts,,54463091,142087,53,13
1990,Central America,Floods,,84801301,189466,23,-54
1990,Central America,Storms,,45225489,244059,46,-8
1990,Central Asia,Droughts,,16966595,955247,42,-10
1990,Central Asia,Floods,,11438146,155207,98,14
1990,Central Asia,Storms,,21814286,901581,38,-19
1990,Eastern Africa,Droughts,,80542212,968889,85,-55
1990,Eastern Africa,Floods,,96817855,545384,26,9
1990,Eastern Africa,Storms,,51585340,944473,46,16
1990,Eastern Asia,Droughts,,89509659,883657,99,-33
1990,Eastern Asia,Floods,,8273332,406963,28,36
1990,Eastern Asia,Storms,,6555492,483697,1,4
1990,Eastern Europe,Droughts,,99501531,113926,82,37
1990,Eastern Europe,Floods,,31392146,470957,22,-13
1990,Eastern Europe,Storms,,37584194,715886,42,4
1990,Melanesia,Droughts,,26639933,642674,12,-19
1990,Melanesia,Floods,,76257542,985414,44,10
1990,Melanesia,Storms,,45013102,120220,78,9
1990,Micronesia,Droughts,,75158253,26245,80,-54
1990,Micronesia,Floods,,41236637,382879,62,-1
1990,Micronesia,Storms,,35051185,468806,96,49
1990,Middle Africa,Droughts,,8747444,73625,37,-48
1990,Middle Africa,Floods,,53485084,89781,54,-50
1990,Middle Africa,Storms,,81016614,603357,86,-36
1990,Northern Africa,Droughts,,69014792,357698,3,26
1990,Northern Africa,Floods,,79826048,467183,14,4
1990,Northern Africa,Storms,,83879795,151185,49,49
1990,Northern America,Droughts,,51858483,541029,16,-25
1990,Northern America,Floods,,14046595,658575,62,-10
1990,Northern America,Storms,,62475153,679323,40,-30
1990,Northern Europe,Droughts,,11803700,512024,83,-60
1990,Northern Europe,Floods,,59228211,785226,30,-55
1990,Northern Europe,Storms,,61609697,126172,18,0
1990,Polynesia,Droughts,,13356144,751582,48,-56
1990,Polynesia,Floods,,79543209,494718,79,-25
1990,Polynesia,Storms,,5150439,364383,65,-37
1990,South America,Droughts,,18710303,19196,56,-58
1990,South America,Floods,,74316489,973632,98,-36
1990,South America,Storms,,64147039,988414,61,37
1990,South-Eastern Asia,Droughts,,5774988,913277,8,35
1990,South-Eastern Asia,Floods,,57124162,198793,43,-54
1990,South-Eastern Asia,Storms,,44470843,882389,67,-32
1990,Southern Africa,Droughts,,63187327,236218,4,1
1990,Southern Africa,Floods,,88435123,176678,41,-27
1990,Southern Africa,Storms,,36592624,822558,67,-24
1990,Southern Asia,Droughts,,87913814,453048,26,-37
1990,Southern Asia,Floods,,64816299,82676,82,-24
1990,Southern Asia,Storms,,91583005,148301,31,-55
1990,Southern Europe,Droughts,,53099092,630429,74,31
1990,Southern Europe,Floods,,66680373,4293,53,37
1990,Southern Europe,Storms,,74404244,90105,68,-9
1990,Western Africa,Droughts,,77880777,173775,70,-31
1990,Western Africa,Floods,,1821399,435372,20,-10
1990,Western Africa,Storms,,70571713,795311,54,-35
1990,Western Asia,Droughts,,68266319,481154,10,1
1990,Western Asia,Floods,,57265724,380261,61,-28
1990,Western Asia,Storms,,35649584,935389,20,-15
1990,Western Europe,Droughts,,19707388,978131,11,48
1990,Western Europe,Floods,,40586277,895425,23,-52
1990,Western Europe,Storms,,39014385,502684,6,25
2000,Australia and New Zealand,Droughts,,5069680,864977,72,-9
2000,Australia and New Zealand,Floods,,36143883,799492,31,37
2000,Australia and New Zealand,Storms,,78405032,92845,48,30
2000,Caribbean,Droughts,,95262827,243368,95,-21
2000,Caribbean,Floods,,99419691,742370,75,31
2000,Caribbean,Storms,,12290166,229308,17,26
2000,Central America,Droughts,,63469357,431945,9,16
2000,Central America,Floods,,65824378,521766,70,-8
2000,Central America,Storms,,38094541,965370,35,26
2000,Central Asia,Droughts,,81078392,843345,68,43
2000,Central Asia,Floods,,6994528,572229,55,-49
2000,Central Asia,Storms,,72358172,123078,52,-3
2000,Eastern Africa,Droughts,,92946200,717757,29,-26
2000,Eastern Africa,Floods,,48852371,961802,88,4
2000,Eastern Africa,Storms,,8505153,826820,6,-40
2000,Eastern Asia,Droughts,,51049869,725226,56,-52
2000,Eastern Asia,Floods,,18702892,139206,58,-46
2000,Eastern Asia,Storms,,81170980,787260,93,11
2000,Eastern Europe,Droughts,,92265117,332793,2,-53
2000,Eastern Europe,Floods,,16034185,996748,17,-48
2000,Eastern Europe,Storms,,14371516,501095,65,-3
2000,Melanesia,Droughts,,7984679,216183,13,-25
2000,Melanesia,Floods,,49606877,878252,49,-47
2000,Melanesia,Storms,,53451289,42522,65,15
2000,Micronesia,Droughts,,85659307,709871,73,35
2000,Micronesia,Floods,,97064951,963312,9,-29
2000,Micronesia,Storms,,61129295,264717,82,-8
2000,Middle Africa,Droughts,,37290482,490907,11,33
2000,Middle Africa,Floods,,81305682,770485,83,-42
2000,Middle Africa,Storms,,52055703,797655,65,-60
2000,Northern Africa,Droughts,,16648051,30238,45,29
2000,Northern Africa,Floods,,59828002,815704,25,-49
2000,Northern Africa,Storms,,49512034,507185,33,-51
2000,Northern America,Droughts,,91311629,887435,97,-6
2000,Northern America,Floods,,75379093,761930,47,-3
2000,Northern America,Storms,,91644010,156303,85,4
2000,Northern Europe,Droughts,,69222685,956883,58,-38
2000,Northern Europe,Floods,,43242293,161168,72,-14
2000,Northern Europe,Storms,,4799698,434627,53,-3
2000,Polynesia,Droughts,,64560123,625071,72,-3
2000,Polynesia,Floods,,98083383,81029,62,-58
2000,Polynesia,Storms,,54818871,53563,84,-16
2000,South America,Droughts,,29438999,234505,55,42
2000,South America,Floods,,98445143,828169,47,24
2000,South America,Storms,,93190228,631410,84,-44
2000,South-Eastern Asia,Droughts,,17243558,358169,52,-59
2000,South-Eastern Asia,Floods,,249847,433240,83,9
2000,South-Eastern Asia,Storms,,93202464,972819,30,36
2000,Southern Africa,Droughts,,79108303,287378,3,16
2000,Southern Africa,Floods,,86081130,300310,17,18
2000,Southern Africa,Storms,,14709933,190120,95,-5
2000,Southern Asia,Droughts,,22642181,934348,26,-35
2000,Southern Asia,Floods,,17654856,548183,94,-39
2000,Southern Asia,Storms,,91058266,693844,4,-21
2000,Southern Europe,Droughts,,1416593,451416,86,-44
2000,Southern Europe,Floods,,33673090,754040,30,45
2000,Southern Europe,Storms,,27347586,453991,31,-52
2000,Western Africa,Droughts,,44094230,304252,13,12
2000,Western Africa,Floods,,45901591,485014,48,-29
2000,Western Africa,Storms,,43765566,218790,35,22
2000,Western Asia,Droughts,,1632335,951482,46,20
2000,Western Asia,Floods,,42861839,658268,10,41
2000,Western Asia,Storms,,32089766,675070,32,-11
2000,Western Europe,Droughts,,12090467,379018,8,0
2000,Western Europe,Floods,,39676805,473478,6,-14
2000,Western Europe,Storms,,24086812,356301,71,3
2010,Australia and New Zealand,Droughts,,68498818,83487,61,22
2010,Australia and New Zealand,Floods,,80224795,18549,0,-41
2010,Australia and New Zealand,Storms,,46181154,57668,62,-24
2010,Caribbean,Droughts,,95083989,548520,74,34
2010,Caribbean,Floods,,31537439,614795,45,13
2010,Caribbean,Storms,,11216704,825905,66,-45
2010,Central America,Droughts,,38186780,923918,87,-16
2010,Central America,Floods,,83619672,126940,80,5
2010,Central America,Storms,,32381286,399580,19,42
2010,Central Asia,Droughts,,58315375,691759,68,-15
2010,Central Asia,Floods,,95705222,666483,26,-55
2010,Central Asia,Storms,,58096562,677133,48,29
2010,Eastern Africa,Droughts,,97523082,644740,65,22
2010,Eastern Africa,Floods,,96014032,563838,32,-6
2010,Eastern Africa,Storms,,24553531,807948,17,-44
2010,Eastern Asia,Droughts,,95341877,302282,94,41
2010,Eastern Asia,Floods,,9484109,538703,20,34
2010,Eastern Asia,Storms,,72484119,689431,11,36
2010,Eastern Europe,Droughts,,24542940,575009,80,47
2010,Eastern Europe,Floods,,66863947,354696,98,13
2010,Eastern Europe,Storms,,93889320,755573,1,16
2010,Melanesia,Droughts,,98308961,538135,51,-54
2010,Melanesia,Floods,,98115972,429859,12,44
2010,Melanesia,Storms,,52242376,652693,47,-36
2010,Micronesia,Droughts,,96723822,45809,90,37
2010,Micronesia,Floods,,54932038,870473,96,30
2010,Micronesia,Storms,,87170633,740119,5,-47
2010,Middle Africa,Droughts,,98464871,706635,53,-33
2010,Middle Africa,Floods,,96075271,963593,53,-54
2010,Middle Africa,Storms,,10984287,164354,95,-15
2010,Northern Africa,Droughts,,10994697,379860,34,-5
2010,Northern Africa,Floods,,9968658,302594,23,-19
2010,Northern Africa,Storms,,15664494,82291,38,30
2010,Northern America,Droughts,,89744863,424434,17,-41
2010,Northern America,Floods,,19531030,887524,29,2
2010,Northern America,Storms,,17569244,427021,37,10
2010,Northern Europe,Droughts,,68080331,425050,6,7
2010,Northern Europe,Floods,,40385133,528750,89,17
2010,Northern Europe,Storms,,99343008,41254,23,15
2010,Polynesia,Droughts,,61141746,617146,84,-17
2010,Polynesia,Floods,,27651247,859610,79,42
2010,Polynesia,Storms,,42304797,254043,7,26
2010,South America,Droughts,,94770184,7666,93,-57
2010,South America,Floods,,23484164,491751,71,-17
2010,South America,Storms,,9854921,486496,99,-57
2010,South-Eastern Asia,Droughts,,91637094,242699,85,-53
2010,South-Eastern Asia,Floods,,92704735,943711,43,45
2010,South-Eastern Asia,Storms,,81945531,504120,25,25
2010,Southern Africa,Droughts,,3098064,441016,98,44
2010,Southern Africa,Floods,,73620701,276214,35,-7
2010,Southern Africa,Storms,,14407829,245187,74,-6
2010,Southern Asia,Droughts,,3025705,637818,73,36
2010,Southern Asia,Floods,,33751889,940001,16,30
2010,Southern Asia,Storms,,64192636,10774,90,8
2010,Southern Europe,Droughts,,62003950,95676,91,9
2010,Southern Europe,Floods,,35379421,586007,56,32
2010,Southern Europe,Storms,,67742041,212363,91,13
2010,Western Africa,Droughts,,18588661,499719,29,-56
2010,Western Africa,Floods,,45154975,303020,63,-55
2010,Western Africa,Storms,,48140335,525764,36,18
2010,Western Asia,Droughts,,45755149,763948,19,-54
2010,Western Asia,Floods,,47851437,774864,83,42
2010,Western Asia,Storms,,91191342,316919,76,-38
2010,Western Europe,Droughts,,26512565,418777,82,31
2010,Western Europe,Floods,,22515267,306910,24,38
2010,Western Europe,Storms,,65288823,23622,8,0
2020,Australia and New Zealand,Droughts,,52241414,167112,31,27
2020,Australia and New Zealand,Floods,,40268575,429655,18,39
2020,Australia and New Zealand,Storms,,38795824,260074,20,-9
2020,Caribbean,Droughts,,65449139,819396,85,36
2020,Caribbean,Floods,,80108352,326027,3,-39
2020,Caribbean,Storms,,47684275,986429,46,31
2020,Central America,Droughts,,60932439,339249,26,42
2020,Central America,Floods,,23310408,754671,97,7
2020,Central America,Storms,,80389112,473268,57,-17
2020,Central Asia,Droughts,,30093873,396826,5,31
2020,Central Asia,Floods,,46954732,466040,92,-13
2020,Central Asia,Storms,,13045566,588399,43,-52
2020,Eastern Africa,Droughts,,99557209,722932,43,44
2020,Eastern Africa,Floods,,76355283,315173,31,-43
2020,Eastern Africa,Storms,,80711802,370443,41,-14
2020,Eastern Asia,Droughts,,53682695,354814,31,-23
2020,Eastern Asia,Floods,,86993820,774783,49,-31
2020,Eastern Asia,Storms,,10900971,589504,2,-18
2020,Eastern Europe,Droughts,,10373057,419572,80,-11
2020,Eastern Europe,Floods,,83251344,527256,6,-36
2020,Eastern Europe,Storms,,10110724,327435,32,38
2020,Melanesia,Droughts,,80260879,489974,49,-57
2020,Melanesia,Floods,,47734090,281319,16,14
2020,Melanesia,Storms,,62281657,528728,69,5
2020,Micronesia,Droughts,,87014484,408452,46,34
2020,Micronesia,Floods,,45736872,301603,37,-5
2020,Micronesia,Storms,,81833291,722597,48,-44
2020,Middle Africa,Droughts,,65120462,79028,38,33
2020,Middle Africa,Floods,,97611039,656261,76,45
2020,Middle Africa,Storms,,77696748,582527,42,-58
2020,Northern Africa,Droughts,,66424787,719926,45,39
2020,Northern Africa,Floods,,60374584,361443,77,41
2020,Northern Africa,Storms,,13963589,410055,51,-2
2020,Northern America,Droughts,,46464749,731113,29,34
2020,Northern America,Floods,,6209150,771441,47,25
2020,Northern America,Storms,,88947523,430842,77,12
2020,Northern Europe,Droughts,,5879840,313455,87,-36
2020,Northern Europe,Floods,,85982732,129092,18,21
2020,Northern Europe,Storms,,23119143,518916,79,-56
2020,Polynesia,Droughts,,63352517,812239,55,-49
2020,Polynesia,Floods,,43016598,452387,59,-6
2020,Polynesia,Storms,,81699738,487981,71,-50
2020,South America,Droughts,,73797774,97897,38,-38
2020,South America,Floods,,75135202,518468,74,-23
2020,South America,Storms,,6141,64133,17,26
2020,South-Eastern Asia,Droughts,,88723636,385009,35,-39
2020,South-Eastern Asia,Floods,,50525817,370953,88,-23
2020,South-Eastern Asia,Storms,,1893912,543163,85,47
2020,Southern Africa,Droughts,,49782271,908577,63,11
2020,Southern Africa,Floods,,48932633,909005,13,31
2020,Southern Africa,Storms,,3074815,455024,81,-4
2020,Southern Asia,Droughts,,72901284,190550,64,8
2020,Southern Asia,Floods,,76075600,505813,63,-2
2020,Southern Asia,Storms,,21470777,910542,53,43
2020,Southern Europe,Droughts,,18147173,591461,76,-15
2020,Southern Europe,Floods,,68395276,875374,50,-2
2020,Southern Europe,Storms,,38004305,646072,7,-56
2020,Western Africa,Droughts,,22926614,346700,41,-34
2020,Western Africa,Floods,,58142460,152788,77,-30
2020,Western Africa,Storms,,34656541,42954,83,40
2020,Western Asia,Droughts,,12531666,278709,57,44
2020,Western Asia,Floods,,72204040,710142,2,-32
2020,Western Asia,Storms,,65394305,873646,28,46
2020,Western Europe,Droughts,,85144907,567866,46,31
2020,Western Europe,Floods,,10018921,197299,3,13
2020,Western Europe,Storms,,44582842,744352,41,43
2030,Australia and New Zealand,Droughts,2.6,25963688,355920,14,-21
2030,Australia and New Zealand,Droughts,4.5,86851390,887275,92,38
2030,Australia and New Zealand,Droughts,6.0,39014080,338688,28,13
2030,Australia and New Zealand,Droughts,8.5,5241282,131290,27,-1
2030,Australia and New Zealand,Floods,2.6,31244732,477836,39,27
2030,Australia and New Zealand,Floods,4.5,67802077,237264,54,19
2030,Australia and New Zealand,Floods,6.0,89596647,183888,45,-37
2030,Australia and New Zealand,Floods,8.5,82739746,785485,42,-4
2030,Australia and New Zealand,Storms,2.6,41617388,648086,19,2
2030,Australia and New Zealand,Storms,4.5,91928243,714635,29,-25
2030,Australia and New Zealand,Storms,6.0,75957372,917553,70,30
2030,Australia and New Zealand,Storms,8.5,28599645,527306,59,-1
2030,Caribbean,Droughts,2.6,95227694,971653,45,35
2030,Caribbean,Droughts,4.5,85836161,470503,39,41
2030,Caribbean,Droughts,6.0,28738670,527704,86,-45
2030,Caribbean,Droughts,8.5,80226514,138527,71,-21
2030,Caribbean,Floods,2.6,82769575,981340,75,-35
2030,Caribbean,Floods,4.5,51994171,785567,71,-15
2030,Caribbean,Floods,6.0,48790475,797126,9,-27
2030,Caribbean,Floods,8.5,14514885,955380,91,-12
2030,Caribbean,Storms,2.6,18531039,130577,52,49
2030,Caribbean,Storms,4.5,78520490,19703,15,39
2030,Caribbean,Storms,6.0,91860514,487789,48,4
2030,Caribbean,Storms,8.5,22941618,927771,72,-2
2030,Central America,Droughts,2.6,92040024,614919,58,-52
2030,Central America,Droughts,4.5,94095251,716570,19,14
2030,Central America,Droughts,6.0,16221630,838277,81,-50
2030,Central America,Droughts,8.5,97000273,401611,46,-54
2030,Central America,Floods,2.6,36174228,888927,9,-47
2030,Central America,Floods,4.5,24525727,884308,77,-54
2030,Central America,Floods,6.0,73124487,906346,42,-46
2030,Central America,Floods,8.5,91831017,530297,98,1
2030,Central America,Storms,2.6,47471070,86063,7,-27
2030,Central America,Storms,4.5,8160199,809309,36,-41
2030,Central America,Storms,6.0,67105778,312227,59,-28
2030,Central America,Storms,8.5,93133975,65354,62,-5
2030,Central Asia,Droughts,2.6,8964112,579998,33,1
2030,Central Asia,Droughts,4.5,10644980,886339,28,39
2030,Central Asia,Droughts,6.0,82341351,411033,95,-59
2030,Central Asia,Droughts,8.5,5155368,23536,51,-33
2030,Central Asia,Floods,2.6,62372789,694978,55,47
2030,Central Asia,Floods,4.5,20524366,230185,77,-34
2030,Central Asia,Floods,6.0,77975025,375380,53,-35
2030,Central Asia,Floods,8.5,80632553,47426,97,21
2030,Central Asia,Storms,2.6,39666739,568254,21,-49
2030,Central Asia,Storms,4.5,40781671,351895,63,-18
2030,Central Asia,Storms,6.0,91308917,81061,45,-22
2030,Central Asia,Storms,8.5,20476934,644118,91,-32
2030,Eastern Africa,Droughts,2.6,72601836,192896,28,-44
2030,Eastern Africa,Droughts,4.5,60385318,410722,28,-56
2030,Eastern Africa,Droughts,6.0,862207,962391,95,14
2030,Eastern Africa,Droughts,8.5,34298874,836227,9,-41
2030,Eastern Africa,Floods,2.6,20387693,819633,99,-42
2030,Eastern Africa,Floods,4.5,34114041,843650,24,-5
2030,Eastern Africa,Floods,6.0,4469401,717850,49,-56
2030,Eastern Africa,Floods,8.5,2947665,533672,35,24
2030,Eastern Africa,Storms,2.6,40483980,364196,13,6
2030,Eastern Africa,Storms,4.5,53838436,601013,62,4
2030,Eastern Africa,Storms,6.0,37707679,465101,51,9
2030,Eastern Africa,Storms,8.5,44507590,45077,81,-24
2030,Eastern Asia,Droughts,2.6,35039369,76830,23,-1
2030,Eastern Asia,Droughts,4.5,45984581,92499,15,43
2030,Eastern Asia,Droughts,6.0,90709876,633337,18,1
2030,Eastern Asia,Droughts,8.5,1773939,863614,23,-29
2030,Eastern Asia,Floods,2.6,37023410,225615,63,-41
2030,Eastern Asia,Floods,4.5,71961242,863523,29,-39
2030,Eastern Asia,Floods,6.0,73260458,222273,38,-33
2030,Eastern Asia,Floods,8.5,75087513,73722,7,-46
2030,Eastern Asia,Storms,2.6,74101017,401575,54,-4
2030,Eastern Asia,Storms,4.5,85599130,316493,30,-4
2030,Eastern Asia,Storms,6.0,93793495,890660,3,-47
2030,Eastern Asia,Storms,8.5,70144471,706055,72,1
2030,Eastern Europe,Droughts,2.6,15073815,677788,40,42
2030,Eastern Europe,Droughts,4.5,18832883,935492,72,37
2030,Eastern Europe,Droughts,6.0,80952977,829042,67,-47
2030,Eastern Europe,Droughts,8.5,45407446,802765,82,38
2030,Eastern Europe,Floods,2.6,20640041,573061,91,44
2030,Eastern Europe,Floods,4.5,53673276,430512,78,48
2030,Eastern Europe,Floods,6.0,77484209,992216,69,15
2030,Eastern Europe,Floods,8.5,530330,573497,37,-54
2030,Eastern Europe,Storms,2.6,54439323,850897,72,-50
2030,Eastern Europe,Storms,4.5,75635840,937908,24,25
2030,Eastern Europe,Storms,6.0,68220062,545124,3,-5
2030,Eastern Europe,Storms,8.5,25047457,263765,26,-13
2030,Melanesia,Droughts,2.6,98928350,72330,28,-41
2030,Melanesia,Droughts,4.5,8962253,250173,46,45
2030,Melanesia,Droughts,6.0,98908467,843887,63,43
2030,Melanesia,Droughts,8.5,49777163,580495,7,-51
2030,Melanesia,Floods,2.6,48188771,520045,28,48
2030,Melanesia,Floods,4.5,49119842,141723,99,14
2030,Melanesia,Floods,6.0,78353633,230182,5,30
2030,Melanesia,Floods,8.5,2732259,669386,27,18
2030,Melanesia,Storms,2.6,96212530,268192,42,23
2030,Melanesia,Storms,4.5,42783145,108907,65,-46
2030,Melanesia,Storms,6.0,32271535,673703,52,43
2030,Melanesia,Storms,8.5,85761293,816434,0,48
2030,Micronesia,Droughts,2.6,30334567,126465,65,27
2030,Micronesia,Droughts,4.5,47208518,290627,11,-25
2030,Micronesia,Droughts,6.0,24391792,497866,27,-3
2030,Micronesia,Droughts,8.5,90669002,530787,86,-26
2030,Micronesia,Floods,2.6,91574675,749300,37,-21
2030,Micronesia,Floods,4.5,76105473,65150,85,-25
2030,Micronesia,Floods,6.0,98491203,381953,74,-14
2030,Micronesia,Floods,8.5,56953118,52805,94,27
2030,Micronesia,Storms,2.6,36316159,567106,20,16
2030,Micronesia,Storms,4.5,64977959,149907,73,6
2030,Micronesia,Storms,6.0,3041143,368199,17,42
2030,Micronesia,Storms,8.5,43978597,558141,76,21
2030,Middle Africa,Droughts,2.6,98712334,115726,63,-36
2030,Middle Africa,Droughts,4.5,22909116,119898,46,-58
2030,Middle Africa,Droughts,6.0,31913913,239309,44,-60
2030,Middle Africa,Droughts,8.5,25048380,224330,1,8
2030,Middle Africa,Floods,2.6,63526957,740354,6,-11
2030,Middle Africa,Floods,4.5,99707295,67005,47,-4
2030,Middle Africa,Floods,6.0,48218382,224013,52,46
2030,Middle Africa,Floods,8.5,40257094,454844,75,30
2030,Middle Africa,Storms,2.6,80342621,779907,17,4
2030,Middle Africa,Storms,4.5,83719324,30181,19,14
2030,Middle Africa,Storms,6.0,68689156,689396,15,20
2030,Middle Africa,Storms,8.5,80650827,304567,23,-17
2030,Northern Africa,Droughts,2.6,9343064,428049,98,-1
2030,Northern Africa,Droughts,4.5,9545766,796517,79,32
2030,Northern Africa,Droughts,6.0,41445250,309483,60,13
2030,Northern Africa,Droughts,8.5,15875803,916805,92,19
2030,Northern Africa,Floods,2.6,68086794,918456,75,4
2030,Northern Africa,Floods,4.5,46044567,556779,54,-24
2030,Northern Africa,Floods,6.0,88725616,613325,61,-32
2030,Northern Africa,Floods,8.5,10884740,997264,1,-51
2030,Northern Africa,Storms,2.6,90381080,395829,5,-37
2030,Northern Africa,Storms,4.5,10741848,355394,60,9
2030,Northern Africa,Storms,6.0,58982280,418764,51,-22
2030,Northern Africa,Storms,8.5,10777156,169836,29,-35
2030,Northern America,Droughts,2.6,4874760,473820,14,-44
2030,Northern America,Droughts,4.5,9680178,948526,60,-16
2030,Northern America,Droughts,6.0,5931236,38694,51,-22
2030,Northern America,Droughts,8.5,49951435,317697,55,-11
2030,Northern America,Floods,2.6,57255150,260623,28,-6
2030,Northern America,Floods,4.5,34824507,666996,9,36
2030,Northern America,Floods,6.0,3713456,246218,19,-42
2030,Northern America,Floods,8.5,30587,960434,54,13
2030,Northern America,Storms,2.6,89836911,363160,1,18
2030,Northern America,Storms,4.5,17210935,55251,11,-51
2030,Northern America,Storms,6.0,56662818,563500,85,-31
2030,Northern America,Storms,8.5,8188451,806458,5,-36
2030,Northern Europe,Droughts,2.6,94403296,633901,75,-27
2030,Northern Europe,Droughts,4.5,86745759,916084,27,46
2030,Northern Europe,Droughts,6.0,96930422,668832,46,1
2030,Northern Europe,Droughts,8.5,95153298,838592,14,-55
2030,Northern Europe,Floods,2.6,82040076,555682,54,-37
2030,Northern Europe,Floods,4.5,16824339,526736,85,-32
2030,Northern Europe,Floods,6.0,81806610,139534,89,-55
2030,Northern Europe,Floods,8.5,57695022,849624,12,25
2030,Northern Europe,Storms,2.6,61935100,871226,49,-32
2030,Northern Europe,Storms,4.5,69313660,824655,90,27
2030,Northern Europe,Storms,6.0,16741675,776702,89,-56
2030,Northern Europe,Storms,8.5,85488166,321898,45,41
2030,Polynesia,Droughts,2.6,83509797,267026,91,7
2030,Polynesia,Droughts,4.5,81862401,795289,54,-34
2030,Polynesia,Droughts,6.0,8561796,264114,88,9
2030,Polynesia,Droughts,8.5,69834311,362944,69,13
2030,Polynesia,Floods,2.6,59049716,946059,39,30
2030,Polynesia,Floods,4.5,83900705,892635,68,-4
2030,Polynesia,Floods,6.0,46322018,123808,49,30
2030,Polynesia,Floods,8.5,68808008,40508,23,-54
2030,Polynesia,Storms,2.6,7301597,288438,11,-36
2030,Polynesia,Storms,4.5,69066200,285769,51,3
2030,Polynesia,Storms,6.0,66151915,613879,23,-20
2030,Polynesia,Storms,8.5,88622523,762634,38,38
2030,South America,Droughts,2.6,55932628,761916,4,20
2030,South America,Droughts,4.5,41993166,143108,38,-51
2030,South America,Droughts,6.0,17410476,162086,85,39
2030,South America,Droughts,8.5,93206119,955486,57,-6
